no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets_value
2,1,0,16.077273656438063,17.213369038360916,12,778,17.74143646856141
0,0,1,15.226497531674536,16.316946509703484,8,417,16.64872390202049
3,1,0,16.02378497148708,17.20665760377293,20,506,17.870767731478328
3,1,0,15.919644712234481,17.239773212557427,8,467,17.78012601351159
5,0,1,16.0978929436408,17.001863191126915,20,382,17.822843743196746
0,1,1,15.38412647587812,16.41820024340866,10,319,17.33892557235068
5,1,0,15.978833583624812,17.312018119430753,4,678,18.075369558663947
2,1,1,15.555976732804778,16.523560759066484,20,382,17.4182873130248
0,1,1,13.592367006650065,14.603967918328545,20,782,15.520258650202699
5,0,0,13.9108207377686,15.27412558066379,10,388,16.06680235657077
4,1,1,14.880221294956703,16.231424336265324,2,547,17.050259731988763
2,0,1,15.717618084361195,16.93787548245163,18,538,17.684626062381145
3,0,1,15.424948470398375,16.266515656076592,16,311,17.367997387172654
2,1,1,16.02378497148708,17.26549810379586,14,679,17.791446889136072
1,0,0,14.457364444136669,15.816990558174398,6,469,16.204273347199372
5,0,0,15.363073066680286,16.185754299432134,10,794,17.22995316637645
2,1,1,13.122363377404328,14.28551418721001,4,663,15.03928598958639
4,0,1,14.880221294956703,16.056220247240233,14,780,16.630919277386983
2,1,0,14.808762330974558,16.147654453199863,10,736,16.166885815127753
5,1,0,15.65606019136176,16.496532086678563,12,652,17.581351053214338
2,1,0,15.424948470398375,16.780783624033557,12,315,17.376556640568324
4,1,0,15.573368475516649,16.454567887579532,16,530,17.569709478198853
4,1,1,15.687312734865866,17.06200154986545,18,311,17.572048660552024
0,0,1,13.122363377404328,14.151982794585487,2,551,14.880221294956703
0,0,0,15.404745763080856,16.0978929436408,16,324,17.065885049891847
5,0,0,14.946912669455374,16.06680235657077,20,514,16.821193162371433
4,1,0,15.919644712234481,17.151280134303974,12,696,17.815544440715133
4,0,1,14.690979295318174,15.538277155705378,4,662,16.62491325332677
5,0,1,15.761420707019587,16.99356438831222,6,336,17.755148730425393
3,0,1,16.012735135300492,17.26549810379586,10,850,18.14492724236586
2,0,0,16.0978929436408,17.04631495369775,12,313,17.91318291027905
2,1,0,15.555976732804778,16.300417207752275,6,363,17.4264284706085
1,0,1,13.592367006650065,14.28551418721001,10,436,15.226497531674536
5,0,1,15.943742263813542,16.90655301132259,2,830,17.312018119430753
3,1,0,15.404745763080856,16.292048958081757,8,612,17.39066124674987
2,1,1,14.346138809026444,15.03928598958639,8,691,16.333207030575267
3,0,0,14.28551418721001,15.64005985001532,18,636,16.195056692094447
5,1,1,15.89495209964411,17.118727531266227,6,348,17.23323724157764
5,1,0,15.096444403426338,15.856730886823913,16,830,16.869511739642242
3,0,1,14.22097566607244,15.444751097694555,6,352,15.732433170146335
1,1,0,15.86963429165982,16.711422496236054,2,712,17.73748389424559
2,0,0,16.02378497148708,17.030378361434938,16,822,18.07254070246347
3,1,0,14.151982794585487,15.03928598958639,6,540,15.671808548329901
2,1,1,13.592367006650065,14.648419680899378,12,342,15.623799329143539
5,1,0,15.687312734865866,16.41076526492114,18,787,17.506886892276796
4,1,0,15.89495209964411,17.140546578660864,16,331,17.75903223045179
3,0,1,15.250595083253597,16.496532086678563,6,679,16.946647468524468
1,1,1,15.404745763080856,16.76519889301686,14,677,17.47135015800001
3,0,0,15.520258650202699,16.835935444108635,12,634,17.40180342330311
1,0,1,16.06680235657077,16.76519889301686,16,662,17.909855120186375
4,1,0,15.80338490611862,17.050259731988763,16,502,17.32106795495067
2,1,0,15.978833583624812,17.022313801598205,10,435,17.585969999070635
5,0,0,15.150511624696614,15.84365880525656,4,689,16.883563493097892
1,0,1,15.943742263813542,16.951004773893423,12,657,18.068282356780895
2,1,1,15.444751097694555,16.796129193708218,20,590,17.49181122987135
5,0,0,15.717618084361195,17.014183675514957,12,818,17.193098073987297
2,0,0,15.27412558066379,16.176364559082295,18,431,16.711422496236054
5,1,1,16.045524958123483,17.23323724157764,18,841,18.104599196978885
1,1,0,15.816990558174398,16.727861222579214,20,421,17.711404181462537
4,0,1,15.520258650202699,16.716932152047026,16,797,17.15483253590834
2,0,0,15.955576721460545,16.75467248002987,18,478,18.164497338559954
3,0,1,16.077273656438063,17.23323724157764,18,669,17.562658920202185
5,0,1,15.990262279448435,17.17935215308266,6,365,17.9914351071788
3,0,1,15.009433026436708,15.830413578506539,20,586,16.84080163375981
4,1,1,15.176487111099874,16.325109820342647,18,784,17.22995316637645
1,1,0,15.226497531674536,16.147654453199863,12,364,17.32106795495067
3,0,0,15.931766072766827,17.18624873214172,10,715,17.80449460452855
0,0,1,14.808762330974558,16.12804598181149,20,693,16.034714042019267
4,1,0,15.538277155705378,16.333207030575267,4,777,17.069753526669768
0,1,0,14.457364444136669,15.424948470398375,12,312,16.461685355348397
4,0,1,13.122363377404328,14.22097566607244,20,340,14.845129975145433
5,1,1,15.483217378522351,16.73867213868343,4,386,17.16541464523888
5,0,0,15.761420707019587,16.722411617811648,4,418,17.896432099854234
3,0,1,15.573368475516649,16.630919277386983,16,735,17.26549810379586
2,0,0,14.77102200299171,15.943742263813542,6,494,16.70031127081098
2,0,0,14.457364444136669,15.687312734865866,18,671,16.012735135300492
4,1,0,15.555976732804778,16.510137738734343,16,697,17.53637305793126
0,1,0,16.012735135300492,17.327055996795295,8,801,18.02020317735524
2,0,0,15.955576721460545,17.19650523230891,12,576,17.865554861289795
0,0,0,13.458835614025542,14.151982794585487,14,639,15.590462908875947
4,1,0,15.068273526459642,16.00156183470237,4,470,16.694709015262312
0,0,0,15.990262279448435,17.255928652779712,4,826,17.628817590453263
2,0,1,16.108045315104818,16.869511739642242,16,363,18.068282356780895
3,1,0,15.096444403426338,15.967272761223736,20,613,16.963963918535928
3,0,1,14.914122846632385,15.919644712234481,16,713,17.054189010128656
2,1,0,15.732433170146335,16.869511739642242,16,439,17.701189588052817
5,0,1,13.9108207377686,15.150511624696614,18,387,15.88237331743725
1,0,1,15.978833583624812,17.158372362613466,8,402,18.093564602255178
4,1,1,14.508657738524219,15.89495209964411,6,837,16.489659207390805
2,0,0,16.0978929436408,17.442514608360124,10,641,17.824660274123143
4,1,0,15.555976732804778,16.864783598446294,18,489,16.963963918535928
4,1,0,15.990262279448435,16.8456442582356,18,540,17.86729550576758
4,1,0,15.150511624696614,16.00156183470237,4,844,17.22995316637645
1,1,0,14.346138809026444,15.671808548329901,10,452,16.08763644347361
2,1,0,13.815510557964274,14.508657738524219,10,366,15.623799329143539
5,1,0,12.611537753638338,13.9108207377686,2,300,14.346138809026444
2,1,1,15.702580206996654,16.523560759066484,18,470,17.255928652779712
2,0,0,15.978833583624812,17.034386382832476,20,861,17.798923559479093
4,1,0,16.056220247240233,17.19650523230891,12,562,18.25344482457645
0,1,0,15.29711509888849,16.195056692094447,14,463,17.06200154986545
4,0,0,12.89921982609012,13.710150042306449,12,478,14.557447902693651
2,0,1,12.611537753638338,13.9108207377686,2,702,13.997832114758229
2,0,1,15.27412558066379,16.3727378693319,20,618,17.175885945106174
4,1,0,14.28551418721001,15.319587954740548,12,633,15.943742263813542
